"","Seedling_ID","Sample_Name","Tube_Sample","Sample","Group","Seedling_sp","Mother_sp","Soil_ID","Tube_label","Seedling_status_at_collection.x","Date_sample_collected","Extraction_date","Sample_type","Sample_weight_mg","Seedling_species","Adult_tag","Adult_species","Identifier","Soil_sample_number","Seedling_status_at_collection.y","Date_seedling_collected","Date_seedling_plated","Date_seedling_stored","Roots_box_position","Roots_sterile_box_positions","Stem_box_position","Stem_sterile_box_position","Leaves_box_position","Leaves_sterile_box_position","Seedling_collection_photo","Seedling_Collector","SequenceRoots","SequenceRootsSterile","SequenceStems","SequenceLeaves","Notes","...24"
"11","01401_0820_1_08","STRI_F_R238","F_R238","R238","FUN",NA,NA,"NA","UR238",NA,20190918,NA,"Unsterile root","13.1","HT",1401,"HC","8",NA,"Healthy","20200302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","01401_0820_1_08","STRI_F_R238","F_R238","R238","FUN",NA,NA,"NA","UR238",NA,20190918,NA,"Unsterile root","13.1","HT",1401,"HC","8",NA,"Pathogen","20190918","20190920",NA,"B1_B10","A_A5","NA","S_H2","NA","L_G3","IMG_4752.JPG","RP","Yes","Yes","Yes","Yes","Doesn't say N8 on the bag, but there is no 8 at 1401",NA
"13","01401_0820_2_02","STRI_F_R072","F_R072","R072","FUN",NA,NA,"NA","UR072",NA,20190926,NA,"Unsterile root","4.8","HT",1401,"HC","N2",NA,"Pathogen","20190926","20190929",20190929,"B1_2E","NA","NA","B_G6","NA","B_D1","IMG_4851.JPG","RP","Yes","No","Yes","Yes","Bag says HTC, but looks like HT",NA
"14","01401_0820_2_02","STRI_F_L074","F_L074","L074","FUN",NA,NA,"NA","L074",NA,20190926,NA,"Sterile leaf","59","HT",1401,"HC","N2",NA,"Pathogen","20190926","20190929",20190929,"B1_2E","NA","NA","B_G6","NA","B_D1","IMG_4851.JPG","RP","Yes","No","Yes","Yes","Bag says HTC, but looks like HT",NA
"15","01401_1901_3_01","STRI_F_R128","F_R128","R128","FUN",NA,NA,"NA","UR128",NA,20190822,NA,"Unsterile root","28.3","SA",1401,"HC","N",NA,"Healthy","20190822",NA,NA,"1_G8","NA","S_G8","NA","L_G8","NA","IMG_4338.HEIC","DP","Yes","No","No","No",NA,NA
"16","01401_1901_3_02","STRI_F_R029","F_R029","R029","FUN",NA,NA,"NA","UR029",NA,20190828,NA,"Unsterile root","8.1","SA",1401,"HC","N",NA,"Healthy","20190828",NA,NA,"1_F7","NA","S_F7","NA","L_F7","NA","IMG_4615.HEIC","DP","Yes","No","No","No",NA,NA
"17","01687_0803_3_01","STRI_F_R123","F_R123","R123","FUN",NA,NA,"NA","UR123",NA,20190826,NA,"Unsterile root","4.4000000000000004","HC",1687,"DG","N",NA,"Healthy","20190826",NA,NA,"1_E8","NA","S_E8","NA","L_E8","NA","IMG_4450.HEIC","DP","Yes","No","No","No",NA,NA
"18","01687_0820_1_02","STRI_F_R045","F_R045","R045","FUN",NA,NA,"NA","UR045",NA,20191001,NA,"Unsterile root","41.9","HT",1687,"DG","2","31","Healthy","20191001",NA,20191002,"B1_9F","A_I8","NA","E_H3","E_C1","E_C2","IMG_4880.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"19","01687_0820_1_04","STRI_F_L209","F_L209","L209","FUN",NA,NA,"NA","L209",NA,20191004,NA,"Sterile leaf","49","HT",1687,"DG","4",NA,"Healthy","20191004",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4933.JPG","JS","Yes","Yes","Yes","Yes","Looks like it may be in a pathogen bag",NA
"20","01687_0820_1_04","STRI_F_R207","F_R207","R207","FUN",NA,NA,"NA","UR207",NA,20191004,NA,"Unsterile root","13","HT",1687,"DG","4",NA,"Healthy","20191004",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4933.JPG","JS","Yes","Yes","Yes","Yes","Looks like it may be in a pathogen bag",NA
"21","01687_0820_1_08","STRI_F_R173","F_R173","R173","FUN",NA,NA,"NA","UR173","Healthy",20191004,NA,"Unsterile root","5","HT",1687,"DG","8",NA,"Healthy","20191004",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4930.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"22","01772_0407_1_02","STRI_F_L170","F_L170","L170","FUN",NA,NA,"NA","L170","Healthy",20191004,NA,"Sterile leaf","38","DG",1772,"HC","2",NA,"Healthy","20191004",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4928.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"23","01772_0407_1_02","STRI_F_R172","F_R172","R172","FUN",NA,NA,"NA","UR172","Healthy",20191004,NA,"Unsterile root","6","DG",1772,"HC","2",NA,"Healthy","20191004",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4928.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"24","01772_0407_1_03","STRI_F_L197","F_L197","L197","FUN",NA,NA,"NA","L197",NA,20191001,NA,"Sterile leaf","58","DG",1772,"HC","3","37","Pathogen","20191001",NA,20191002,"B1_4E","A_G2","NA","E_H2","E_C3","E_C4","IMG_4878.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"25","01772_0407_1_03","STRI_F_R195","F_R195","R195","FUN",NA,NA,"NA","UR195",NA,20191001,NA,"Unsterile root","27","DG",1772,"HC","3","37","Pathogen","20191001",NA,20191002,"B1_4E","A_G2","NA","E_H2","E_C3","E_C4","IMG_4878.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"26","01772_0407_1_03","STRI_O_R172","O_R172","R172","OOMY",NA,NA,"NA","UR173","Healthy",20191004,NA,"Unsterile root","6","DG",1772,"HC","3","37","Pathogen","20191001",NA,20191002,"B1_4E","A_G2","NA","E_H2","E_C3","E_C4","IMG_4878.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"27","01772_0803_3_01","STRI_F_R124","F_R124","R124","FUN",NA,NA,"NA","UR124",NA,20190826,NA,"Unsterile root","4.0999999999999996","HC",1772,"HC","N","54","Healthy","20190826",NA,NA,"1_C5","NA","S_C5","NA","L_C5","NA","IMG_4453.HEIC","DP","Yes","No","No","No",NA,NA
"28","01772_0803_3_02","STRI_O_R124","O_R124","R124","OOMY",NA,NA,"NA","UR125",NA,20190826,NA,"Unsterile root","4.0999999999999996","HC",1772,"HC","N",NA,"Healthy","20190826",NA,NA,"1_A4","NA","S_A4","NA","L_A4","NA","IMG_4458.HEIC","DP","Yes","No","No","No",NA,NA
"29","01772_0803_3_02","STRI_F_R140","F_R140","R140","FUN",NA,NA,"NA","UR140",NA,20190826,NA,"Unsterile root","2","HC",1772,"HC","N",NA,"Healthy","20190826",NA,NA,"1_A4","NA","S_A4","NA","L_A4","NA","IMG_4458.HEIC","DP","Yes","No","No","No",NA,NA
"30","01772_0803_3_03","STRI_F_R141","F_R141","R141","FUN",NA,NA,"NA","UR141",NA,20190826,NA,"Unsterile root","3.8","HC",1772,"HC","N",NA,"Healthy","20190826",NA,NA,"1_B5","NA","S_B5","NA","L_B5","NA","IMG_4459.HEIC","DP","Yes","No","No","No",NA,NA
"31","01772_0803_3_03","STRI_O_R140","O_R140","R140","OOMY",NA,NA,"NA","UR141",NA,20190826,NA,"Unsterile root","2","HC",1772,"HC","N",NA,"Healthy","20190826",NA,NA,"1_B5","NA","S_B5","NA","L_B5","NA","IMG_4459.HEIC","DP","Yes","No","No","No",NA,NA
"32","01772_0803_3_04","STRI_F_R218","F_R218","R218","FUN",NA,NA,"NA","UR218",NA,20190814,NA,"Unsterile root","0.4","HC",1772,"HC",NA,NA,"Healthy","20190814",NA,NA,"1_A8","NA","NA","NA","NA","NA",NA,NA,"Yes","No","No","No",NA,"Status unknown. No indication it was not healthy though"
"33","01772_0820_1_01","STRI_F_R066","F_R066","R066","FUN",NA,NA,"NA","UR066",NA,20190927,NA,"Unsterile root","2.2999999999999998","HT",1772,"HC","1",NA,"Pathogen","20190927","20190929",20190929,"B1_3E","NA","NA","B_F8","NA","B_D8","IMG_4847.JPG","RP","Yes","No","Yes","Yes",NA,NA
"34","01772_0820_1_01","STRI_F_L068","F_L068","L068","FUN",NA,NA,"NA","L068",NA,20190927,NA,"Sterile leaf","55.6","HT",1772,"HC","1",NA,"Pathogen","20190927","20190929",20190929,"B1_3E","NA","NA","B_F8","NA","B_D8","IMG_4847.JPG","RP","Yes","No","Yes","Yes",NA,NA
"35","01772_0820_1_02","STRI_F_L050","F_L050","L050","FUN",NA,NA,"NA","L050",NA,20191001,NA,"Sterile leaf","61.5","HT",1772,"HC","2","33","Healthy","20191001",NA,20191002,"B1_10F","A_E6","NA","E_G8","E_C7","E_C8","IMG_4875.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"36","01772_0820_1_02","STRI_F_R048","F_R048","R048","FUN",NA,NA,"NA","UR048",NA,20191001,NA,"Unsterile root","58.3","HT",1772,"HC","2","33","Healthy","20191001",NA,20191002,"B1_10F","A_E6","NA","E_G8","E_C7","E_C8","IMG_4875.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"37","01772_0820_1_04","STRI_F_L215","F_L215","L215","FUN",NA,NA,"NA","L215",NA,20191004,NA,"Sterile leaf","48","HT",1772,"HC","4",NA,"Healthy","20191004",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4932.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"38","01772_0820_1_04","STRI_F_R213","F_R213","R213","FUN",NA,NA,"NA","UR213",NA,20191004,NA,"Unsterile root","22","HT",1772,"HC","4",NA,"Healthy","20191004",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4932.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"39","01772_0820_1_05","STRI_F_R192","F_R192","R192","FUN",NA,NA,"NA","UR192",NA,20191001,NA,"Unsterile root","38","HT",1772,"HC","5","33","Healthy","20191001",NA,20191002,"B1_6F","A_I2","NA","E_H6","E_B4","E_B5","IMG_4872.JPG","JS","Yes","Yes","Yes","Yes","Bag mislabeled",NA
"40","01772_0820_1_05","STRI_F_L194","F_L194","L194","FUN",NA,NA,"NA","L194",NA,20191001,NA,"Sterile leaf","50","HT",1772,"HC","5","33","Healthy","20191001",NA,20191002,"B1_6F","A_I2","NA","E_H6","E_B4","E_B5","IMG_4872.JPG","JS","Yes","Yes","Yes","Yes","Bag mislabeled",NA
"41","01772_1901_3_01","STRI_F_R131","F_R131","R131","FUN",NA,NA,"NA","UR131",NA,20190826,NA,"Unsterile root","4.8","SA",1772,"HC","N",NA,"Healthy","20190826",NA,NA,"1_F9","NA","S_F9","NA","S_F9","NA","IMG_4455.HEIC","DP","Yes","No","No","No",NA,NA
"42","01772_1901_3_02","STRI_F_R133","F_R133","R133","FUN",NA,NA,"NA","UR133",NA,20190826,NA,"Unsterile root","21.3","SA",1772,"HC","N",NA,"Healthy","20190826",NA,NA,"1_G9","NA","S_G9","NA","L_G9","NA","IMG_4455.HEIC","DP","Yes","No","No","No",NA,NA
"43","01772_1901_3_02","STRI_O_R131","O_R131","R131","OOMY",NA,NA,"NA","UR132",NA,20190826,NA,"Unsterile root","4.8","SA",1772,"HC","N",NA,"Healthy","20190826",NA,NA,"1_G9","NA","S_G9","NA","L_G9","NA","IMG_4455.HEIC","DP","Yes","No","No","No",NA,NA
"44","02512_0407_1_01","STRI_F_R253","F_R253","R253","FUN",NA,NA,"NA","UR253",NA,20190921,NA,"Unsterile root","32.700000000000003","DG",2512,"HT","1","15","Healthy","20190921","NA",NA,"B1_8B","NA","NA","B_I6","NA","B_A7","IMG_4784.JPG","JS","Yes","No","Yes","Yes","Few roots excavated",NA
"45","02512_0407_1_01","STRI_F_L222","F_L222","L222","FUN",NA,NA,"NA","L222",NA,20190921,NA,"Sterile leaf","57.2","DG",2512,"HT","1","15","Healthy","20190921","NA",NA,"B1_8B","NA","NA","B_I6","NA","B_A7","IMG_4784.JPG","JS","Yes","No","Yes","Yes","Few roots excavated",NA
"46","02512_0407_2_01","STRI_F_R252","F_R252","R252","FUN",NA,NA,"NA","UR252",NA,20190917,NA,"Unsterile root","37.799999999999997","DG",2512,"HT","N1","2","Pathogen","20190917","20190920",NA,"B1_9B","NA","NA","S_A1","NA","L_A2","IMG_4757.JPG","RP","Yes","No","Yes","Yes",NA,NA
"47","02512_0803_3_01","STRI_F_R251","F_R251","R251","FUN",NA,NA,"NA","UR250",NA,20190920,NA,"Unsterile root","4.5","HC",2512,"HT","N","5","Pathogen","20190920","20190925",20190925,"B1_4D","NA","NA","B_H4","NA","B_C3","IMG_4797.JPG","RP","Yes","No","Yes","Yes",NA,"Possible mixup with sterile-unsterile"
"48","02512_0803_3_01","STRI_F_L232","F_L232","L232","FUN",NA,NA,"NA","L232",NA,20190920,NA,"Sterile leaf","49.5","HC",2512,"HT","N","5","Pathogen","20190920","20190925",20190925,"B1_4D","NA","NA","B_H4","NA","B_C3","IMG_4797.JPG","RP","Yes","No","Yes","Yes",NA,"Possible mixup with sterile-unsterile"
"49","02512_0820_1_01","STRI_F_R166","F_R166","R166","FUN",NA,NA,"NA","UR166",NA,20190814,NA,"Unsterile root","3","HT",2512,"HT","1",NA,"Healthy","20190814",NA,NA,"1_H1","NA","NA","NA","NA","NA",NA,"DP","Yes","No","No","No","From census record",NA
"50","02512_0820_1_02","STRI_F_R189","F_R189","R189","FUN",NA,NA,"NA","UR189","Healthy",20191011,NA,"Unsterile root","16","HT",2512,"HT","2","55","Healthy","20191011",NA,20191015,"B1_8A","Bag","Bag","Bag","Bag","Bag","IMG_4872.JPG","JS","Yes","Yes","Yes","Yes","Unclear whether root tip is available",NA
"51","02512_0820_1_02","STRI_F_L187","F_L187","L187","FUN",NA,NA,"NA","L187","Healthy",20191011,NA,"Sterile leaf","33","HT",2512,"HT","2","55","Healthy","20191011",NA,20191015,"B1_8A","Bag","Bag","Bag","Bag","Bag","IMG_4872.JPG","JS","Yes","Yes","Yes","Yes","Unclear whether root tip is available",NA
"52","02512_0820_1_07","STRI_F_R184","F_R184","R184","FUN",NA,NA,"NA","UR184","Healthy",20191011,NA,"Unsterile root","3","HT",2512,"HT","7","55","Healthy","20191011",NA,20191015,"B1_4B","Bag","Bag","Bag","Bag","Bag","IMG_4980.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"53","02512_0820_1_07","STRI_F_L186","F_L186","L186","FUN",NA,NA,"NA","L186","Healthy",20191011,NA,"Sterile leaf","23","HT",2512,"HT","7","55","Healthy","20191011",NA,20191015,"B1_4B","Bag","Bag","Bag","Bag","Bag","IMG_4980.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"54","02512_0820_1_11","STRI_F_R005","F_R005","R005","FUN",NA,NA,"NA","UR005","Healthy",20191011,NA,"Unsterile root","6.2","HT",2512,"HT","11","55","Healthy","20191011",NA,20191015,"B1_1B","Bag","Bag","Bag","Bag","Bag","IMG_4978.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"55","02512_0820_1_11","STRI_F_L005","F_L005","L005","FUN",NA,NA,"NA","L005","Healthy",20191011,NA,"Sterile leaf","44.1","HT",2512,"HT","11","55","Healthy","20191011",NA,20191015,"B1_1B","Bag","Bag","Bag","Bag","Bag","IMG_4978.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"56","02512_0820_2_03","STRI_F_L112","F_L112","L112","FUN",NA,NA,"NA","L112",NA,20190920,NA,"Sterile leaf","56.1","HT",2512,"HT","N3","9","Pathogen","20190920","20190925",20190925,"B1_2D","A_D8","NA","B_H6","NA","B_C1","IMG_4799.JPG","RP","Yes","Yes","Yes","Yes","Duplicates stored in E_A1, E_A2, E_I9, E_I8","Possible mixup with sterile-unsterile"
"57","02512_1901_3_01","STRI_F_R216","F_R216","R216","FUN",NA,NA,"NA","UR216",NA,20190903,NA,"Unsterile root","26.4","SA",2512,"HT",NA,NA,"Healthy","20190903",NA,NA,"1_F8","NA","S_F8","NA","L_F8","NA",NA,NA,"Yes","No","No","No",NA,"Status unknown. No indication it was not healthy though"
"58","03546_0407_2_01","STRI_F_R060","F_R060","R060","FUN",NA,NA,"NA","UR060",NA,20190927,NA,"Unsterile root","8.6","DG",3546,"HC","N1",NA,"Pathogen","20190927","20190929",20190929,"B1_7D","NA","NA","B_G7","NA","B_C9","IMG_4845.JPG","RP","Yes","No","Yes","Yes",NA,NA
"59","03546_0407_2_01","STRI_F_L062","F_L062","L062","FUN",NA,NA,"NA","L062",NA,20190927,NA,"Sterile leaf","52.8","DG",3546,"HC","N1",NA,"Pathogen","20190927","20190929",20190929,"B1_7D","NA","NA","B_G7","NA","B_C9","IMG_4845.JPG","RP","Yes","No","Yes","Yes",NA,NA
"60","03546_0407_3_01","STRI_F_R127","F_R127","R127","FUN",NA,NA,"NA","UR127",NA,20190822,NA,"Unsterile root","8.5","DG",3546,"HC","N",NA,"Healthy","20190822",NA,NA,"1_C2","NA","S_C3","NA","L_C3","NA","IMG_4337.HEIC","DP","Yes","No","No","No",NA,NA
"61","03546_0407_3_02","STRI_F_R130","F_R130","R130","FUN",NA,NA,"NA","UR130",NA,20190822,NA,"Unsterile root","17","DG",3546,"HC","N",NA,"Healthy","20190822",NA,NA,"1_C3","NA","NA","NA","L_C2 . L_B2","NA","IMG_4339.HEIC","DP","Yes","No","No","No",NA,NA
"62","03546_0407_3_03","STRI_O_R130","O_R130","R130","OOMY",NA,NA,"NA","UR131",NA,20190822,NA,"Unsterile root","17","DG",3546,"HC","N",NA,"Healthy","20190826",NA,NA,"1_B4","NA","S_B4","NA","L_B4","NA","IMG_4451.HEIC","DP","Yes","No","No","No",NA,NA
"63","03546_0803_1_01","STRI_F_R204","F_R204","R204","FUN",NA,NA,"NA","UR204",NA,20191004,NA,"Unsterile root","10","HC",3546,"HC","1","36","Healthy","20191004",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4931.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"64","03546_0803_1_01","STRI_F_L206","F_L206","L206","FUN",NA,NA,"NA","L206",NA,20191004,NA,"Sterile leaf","51","HC",3546,"HC","1","36","Healthy","20191004",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4931.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"65","03546_0803_3_02","STRI_F_R132","F_R132","R132","FUN",NA,NA,"NA","UR132",NA,20190822,NA,"Unsterile root","5","HC",3546,"HC","N",NA,"Healthy","20190822",NA,NA,"1_D8","NA","S_D8","NA","L_D2","NA","IMG_4340.HEIC","DP","Yes","No","No","No",NA,NA
"66","12249_0407_1_03","STRI_F_R019","F_R019","R019","FUN",NA,NA,"NA","UR019",NA,20190927,NA,"Unsterile root","1.2","DG",12249,"DG","3","22","Healthy","20190927","NA",20191001,"B1_6D","NA","B_H1","B_H2","B_C6","B_C5","IMG_4830.JPG","JS","Yes","No","Yes","Yes",NA,NA
"67","12249_0407_2_01","STRI_F_R106","F_R106","R106","FUN",NA,NA,"NA","UR106",NA,20190920,NA,"Unsterile root","0.9","DG",12249,"HC","N1","3","Pathogen","20190920","20190925",20190925,"B1_7C","A_C7","NA","B_I2","NA","B_B5","IMG_4798.JPG","RP","Yes","Yes","Yes","Yes",NA,"Possible mixup with sterile-unsterile"
"68","12249_0407_2_01","STRI_F_L108","F_L108","L108","FUN",NA,NA,"NA","L108",NA,20190920,NA,"Sterile leaf","45.7","DG",12249,"HC","N1","3","Pathogen","20190920","20190925",20190925,"B1_7C","A_C7","NA","B_I2","NA","B_B5","IMG_4798.JPG","RP","Yes","Yes","Yes","Yes",NA,"Possible mixup with sterile-unsterile"
"69","12249_0803_1_01","STRI_F_L025","F_L025","L025","FUN",NA,NA,"NA","L025",NA,20190927,NA,"Sterile leaf","55.4","HC",12249,"HC","1","19","Healthy","20190927","NA",20191001,"B1_7E","A_G6","B_F6","B_F5","B_E4","B_E3","IMG_4827.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"70","12249_0803_1_01","STRI_F_R022","F_R022","R022","FUN",NA,NA,"NA","UR022",NA,20190927,NA,"Unsterile root","0.5","HC",12249,"HC","1","19","Healthy","20190927","NA",20191001,"B1_7E","A_G6","B_F6","B_F5","B_E4","B_E3","IMG_4827.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"71","12249_0820_1_04","STRI_F_R099","F_R099","R099","FUN",NA,NA,"NA","UR099",NA,20190903,NA,"Unsterile root","1.7","HT",12249,"HC","4",NA,"Healthy","20190903",NA,NA,"1_D1","NA","S_D1","NA","L_D1","NA",NA,NA,"Yes","No","No","No",NA,NA
"72","12249_0820_1_05","STRI_F_R015","F_R015","R015","FUN",NA,NA,"NA","UR015",NA,20190927,NA,"Unsterile root","1.7","HT",12249,"DG","5","26","Healthy","20190927","NA",20191001,"B1_2F","A_H5","E_I4","E_I5","E_A6","E_A5","IMG_4833.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"73","12249_0820_1_05","STRI_F_L018","F_L018","L018","FUN",NA,NA,"NA","L018",NA,20190927,NA,"Sterile leaf","49.6","HT",12249,"DG","5","26","Healthy","20190927","NA",20191001,"B1_2F","A_H5","E_I4","E_I5","E_A6","E_A5","IMG_4833.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"74","12249_0820_1_06","STRI_O_R015","O_R015","R015","OOMY",NA,NA,"NA","UR016",NA,20190927,NA,"Unsterile root","1.7","HT",12249,"HT","6",NA,"Healthy","20190903",NA,NA,"1_G5","NA","S_G5","NA","L_G5","NA",NA,"DP","Yes","No","No","No","From box",NA
"75","12249_0820_1_06","STRI_F_R191","F_R191","R191","FUN",NA,NA,"NA","UR191",NA,20190903,NA,"Unsterile root","NA","HT",12249,"HT","6",NA,"Healthy","20190903",NA,NA,"1_G5","NA","S_G5","NA","L_G5","NA",NA,"DP","Yes","No","No","No","From box",NA
"76","12249_0820_1_08","STRI_F_R006","F_R006","R006","FUN",NA,NA,"NA","UR006","Healthy",20191011,NA,"Unsterile root","7.6","HT",12249,"HT","8",NA,"Healthy","20191011",NA,20191015,"B1_3B","Bag","Bag","Bag","Bag","Bag","IMG_4974.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"77","12249_1901_2_01","STRI_F_R247","F_R247","R247","FUN",NA,NA,"NA","UR247",NA,20191001,NA,"Unsterile root","8.1999999999999993","SA",12249,"HC","N1",NA,"Pathogen","20191001",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4882.JPG","RP","Yes","Yes","Yes","Yes",NA,NA
"78","12249_1901_3_01","STRI_F_R053","F_R053","R053","FUN",NA,NA,"NA","UR053",NA,20190911,NA,"Unsterile root","38","SA",12249,"HC",NA,NA,"Healthy","20190911",NA,NA,"1_C4",NA,"S_H9","NA","L_I9","NA",NA,NA,"Yes","Yes","No","No",NA,NA
"79","12525_0407_1_01","STRI_F_L231","F_L231","L231","FUN",NA,NA,"NA","L231",NA,20190921,NA,"Sterile leaf","52.2","DG",12525,"DG","1","13","Healthy","20190921","NA",NA,"B1_2C","NA","NA","B_I9","B_B3","B_A9","IMG_4793.JPG","JS","Yes","No","Yes","Yes","Few roots excavated",NA
"80","12525_0407_2_01","STRI_F_R248","F_R248","R248","FUN",NA,NA,"NA","UR248",NA,20191001,NA,"Unsterile root","3.5","DG",12525,"DG","N1",NA,"Pathogen","20191001",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4883.JPG","RP","Yes","Yes","Yes","Yes",NA,NA
"81","12525_0407_2_01","STRI_F_L101","F_L101","L101","FUN",NA,NA,"NA","L101",NA,20191001,NA,"Sterile leaf","45.3","DG",12525,"DG","N1",NA,"Pathogen","20191001",NA,NA,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4883.JPG","RP","Yes","Yes","Yes","Yes",NA,NA
